orf_id,st1_200m.x,st1_400m.x,st1_50m.x,st1_90m.x,st1_120m.x,st1_300m.x,st3_40m.x,st3_60m.x,st3_120m.x,st3_150m.x,st3_200m.x,st3_250m.x,st3_300m.x,st3_400m.x,st3_500m.x,st3_550m.x,st3_600m.x,st3_800m.x,st5_20m.x,st5_80m.x,st5_120m.x,st5_200m.x,st5_50m.x,st5_300m.x,st5_400m.x,st5_500m.x,st5_600m.x,st6_40m.x,st6_80m.x,st6_200m.x,st8_40m.x,st8_70m.x,st8_200m.x,st9_40m.x,st9_70m.x,st9_380m.x,st12_40m.x,st12_120m.x,st12_300m.x,st12_1900m.x,contig_length,orf_length,kegg_hit,kegg_desc,kegg_pathway,KO,KO_desc,KO_pathway,EC,GO_terms,uniprot,KOG_id,KOG_desc,KOG_class,KOG_group,best_hit,best_hit_percent_identity,best_hit_annotation,best_hit_GOS_core_cluster,best_hit_species,best_hit_taxon_id,domain,group,group_reads,group_orfs,best_LPI,hits_top,hits_unique,best_tax_string,PFams,PFams_desc,TIGRFams,TIGRFams_desc,transporter_family,transporter_substrate,transporter_evidence,transmembrane_domains
contig_1122707_1_876_-,0,0,2.307987535,2.207427045,0,0,0,1.382534227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.643115845,0,0.498587561,0,0,0,0,1.823957548,0.833330777,0,0,876,876,pti:PHATR_18665,"SHMT, GHMT; serine hydroxymethyltransferase; K00600 glycine hydroxymethyltransferase [EC:2.1.2.1]",pti01100||pti00670||pti00260||pti00460||pti01110,K00600,glycine hydroxymethyltransferase [EC:2.1.2.1],"Glycine, serine and threonine metabolism || Cyanoamino acid metabolism || Glyoxylate and dicarboxylate metabolism || One carbon pool by folate || Methane metabolism || Carbon metabolism || Biosynthesis of amino acids",2.1.2.1,0004372||0006544||0006563,B5Y594,,,,,CAMPEP_0192116570-CAMNT_0036221297,93,PF00464.14: Serine hydroxymethyltransferase,,Scrippsiella trochoidea CCMP3099,71861,Eukaryota,Dinophyta,43183874,207602,0.8343,48,24,Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Azadinium;Azadinium spinosum 3D9,_GAP_||PF00464,_GAP_||Serine hydroxymethyltransferase,,,,,NA,0
contig_1126103_1_999_-,0,0,0,0,0,0,0,0,1.004029443,0,0,0,0,0,0,0,0,0,0,0.573825807,0,0,0,0,0,0,0,0.360223366,1.111727986,0,1.022573109,2.185999516,0,0,1.148568095,0,0,0.730728489,0,0,2245,999,,,,,,,,,,,,,,CAMPEP_0188983004-CAMNT_0032482827,43,,,Karenia brevis CCMP2229,-311225,Eukaryota,Dinophyta,43183874,207602,0.9155,29,15,Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Gymnodinium;Gymnodinium catenatum,,,,,,,NA,0
contig_1126347_209_1117_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.619768405,0,0,0,3.590378955,0,2.048151909,0,0,0,0,1224,909,vcn:VOLCADRAFT_73775,hypothetical protein; K10949 ER lumen protein retaining receptor,,,,,,0006621||0016021||0046923,,KOG3106,ER lumen protein retaining receptor,"Intracellular trafficking, secretion, and vesicular transport ",CELLULAR PROCESSES AND SIGNALING,CAMPEP_0200849336-CAMNT_0047023605,88,PF00810.13: ER lumen protein retaining receptor,,"Karlodinium micrum, Strain CCMP2283",342587,Eukaryota,Dinophyta,43183874,207602,1,1,1,"Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Karlodinium;Karlodinium micrum, Strain CCMP2283",_GAP_||PF00810||_GAP_,_GAP_||ER lumen protein retaining receptor||_GAP_,,,,,NA,5
contig_1127351_1_760_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.051175535,0,0,0,760,760,,,,,,,,,,,,,,CAMPEP_0186346554-CAMNT_0029133331,65,,,Alexandrium temarense CCMP1771,2926,Eukaryota,Dinophyta,43183874,207602,1,6,1,Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Alexandrium;Alexandrium temarense CCMP1771,,,,,,,NA,0
contig_1127978_1_333_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.782149245,1.721477422,0,0,0,0,0,0,0,2.161340197,0,0,0,0,0,0,0,0,0,0,0,0,333,333,,,,,,,,,,,,,,CAMPEP_0168677408-CAMNT_0008721877,43,,,"Heterocapsa rotundata, Strain SCCAP K-0483",89963,Eukaryota,Dinophyta,43183874,207602,0.9453,10,3,"Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Karlodinium;Karlodinium micrum, Strain CCMP2283",,,,,,,NA,0
contig_1128075_420_674_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.712794915,0,0,1.499894807,0,0,0,0,0,818,255,ppp:PHYPADRAFT_208472,hypothetical protein; K11098 small nuclear ribonucleoprotein F,ppp03040,K11098,small nuclear ribonucleoprotein F,Spliceosome,,,A9S411,KOG3482,Small nuclear ribonucleoprotein (snRNP) SMF,RNA processing and modification ,INFORMATION STORAGE AND PROCESSING,CAMPEP_0194493334-CAMNT_0039334307,91,PF01423.17: LSM domain,,Noctiluca scintillans,2966,Eukaryota,Dinophyta,43183874,207602,0.87,50,29,Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Alexandrium;Alexandrium temarense CCMP1771,PF01423,LSM domain ,,,,,NA,0
contig_1128468_1_669_+,0,0,6.044236413,4.335663883,5.349168365,0,3.368579168,3.620627751,4.497871808,2.34283971,2.827953054,9.849394487,0,4.228307693,0,0,0,0,1.774157545,2.570636689,1.169119976,0,2.148766862,0,0,0,0,2.68956011,3.873599306,5.894747921,4.580944105,3.264295241,3.620222573,0,4.573670262,2.782914926,1.194160547,3.27353256,2.808466061,0,669,669,,,,,,,,,,,,,,CAMPEP_0190447636-CAMNT_0034206283,36,,,Oxyrrhis marina LB1974,-311155,Eukaryota,Dinophyta,43183874,207602,0.977,2,2,Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Oxyrrhinaceae;Oxyrrhis;Oxyrrhis marina,,,,,,,NA,0
contig_1131919_1_988_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.600663663,0,0,0,0.727492425,0,0,1.047405112,1.209725488,0,0,0.570212024,0.516979016,0.442067513,0,0,0,0,0,0,0,0,988,988,,,,,,,,,,,,,,CAMPEP_0190309416-CAMNT_0034043379,36,,,Oxyrrhis marina,2969,Eukaryota,Dinophyta,43183874,207602,0.9269,5,4,Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Oxyrrhinaceae;Oxyrrhis;Oxyrrhis marina,,,,,,,NA,0
contig_1142198_1_517_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.978124208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,790,517,,,,,,,,,,,,,,CAMPEP_0188252338-CAMNT_0031584191,53,,,Kryptoperidinium foliaceum CCAP1116_3,-311229,Eukaryota,Dinophyta,43183874,207602,0.835,14,9,Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Kryptoperidinium;Kryptoperidinium foliaceum CCAP1116_3,,,,,,,NA,0
contig_1142589_1_920_+,0,0,6.592816565,6.305563342,2.593183794,0,0,7.898478148,0,0,2.056413688,0,5.54208621,0,0,0,0,0,2.580242168,2.49239992,4.250767738,5.558098995,4.687581622,2.401485341,1.553349357,3.374466035,2.59827996,2.738089129,2.816780365,3.061790651,2.775952542,1.898968275,1.974398561,0,1.662926851,0,5.210174388,3.173903308,0,0,1482,920,vcn:VOLCADRAFT_105176,hypothetical protein; K01535 H+-transporting ATPase [EC:3.6.3.6],,,,,,,,,,,,km10244-km,82,plasma membrane hydrogen ATPase,CAM_CRCL_1884,"Karlodinium micrum, Strain CCMP2283",342587,Eukaryota,Dinophyta,43183874,207602,0.9507,4,2,Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Gambierdiscus;Gambierdiscus australes,,,,,,,NA,4
contig_1142617_1_1046_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.353924875,0,0,0,0,0,0.365653132,0,0,0,0,0,1308,1046,,,,,,,,,,,,,,CAMPEP_0200829208-CAMNT_0046996705,38,,,"Karlodinium micrum, Strain CCMP2283",342587,Eukaryota,Dinophyta,43183874,207602,1,3,1,"Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Karlodinium;Karlodinium micrum, Strain CCMP2283",,,,,,,NA,0
contig_114268_130_483_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.676428527,0,0,0,0,3.120574172,0,0,0,3.04968765,1.045778021,0,0,0,1.710401766,0,2.160865399,0,2.256761034,0,0,0,483,354,,,,,,,,,,,,,,CAMPEP_0190382778-CAMNT_0034134213,79,,,Oxyrrhis marina,2969,Eukaryota,Dinophyta,43183874,207602,0.9165,5,3,Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Oxyrrhinaceae;Oxyrrhis;Oxyrrhis marina,,,,,,,NA,0
contig_1143143_1_800_-,0,0,1.263623175,0,0,0,0,0,1.253781766,3.918399415,0,0,0,0,0,0,0,0,0.741819623,0,0.97767658,0,0,0,0,0,0,0.899657857,1.388270323,4.225271099,0,1.637860137,2.270558345,0,0.47809147,0,0,0.912497201,0,0,800,800,,,,,,,,,,,,,,CAMPEP_0171090952-CAMNT_0011548999,53,,,Gambierdiscus australes,439317,Eukaryota,Dinophyta,43183874,207602,0.9181,49,23,Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Scrippsiella;Scrippsiella hangoei SHTV5,,,,,,,NA,0
contig_1143762_1_730_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.812953012,0,0,0,0.984606186,0,0,0,0,0.985926419,0.507130712,0.771739014,0,0,0.829427706,0,0,0,0,0,0,0,1537,730,ote:Oter_1589,major intrinsic protein; K06188 aquaporin Z,,K06188,aquaporin Z,,,0005215||0006810||0016020,B1ZTT7,,,,,CAMPEP_0178401866-CAMNT_0020022717,70,TIGR00861: MIP: MIP family channel proteins PF00230.15:  Major intrinsic protein,,Amphidinium massartii,160604,Eukaryota,Dinophyta,43183874,207602,0.9201,2,2,Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Amphidinium;Amphidinium massartii,PF00230||_GAP_,Major intrinsic protein||_GAP_,,,MIP,,2,6
contig_1149931_1_1016_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.406576189,1.018539617,0,0,0,0,0,0,0,0,0,0,0,0,1.849275388,0,1017,1016,ddi:DDB_G0269138, fttB; hypothetical protein; K06630 tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein,,K06630,14-3-3 protein epsilon,Cell cycle || Oocyte meiosis || PI3K-Akt signaling pathway || Hippo signaling pathway || Hippo signaling pathway - fly || Neurotrophin signaling pathway || Epstein-Barr virus infection || Viral carcinogenesis,,,P54632,KOG0841,Multifunctional chaperone (14-3-3 family),"Posttranslational modification, protein turnover, chaperones ",CELLULAR PROCESSES AND SIGNALING,CAMPEP_0189191522-CAMNT_0032736521,75,PF00244.15: 14-3-3 protein,,Karenia brevis SP3,-311227,Eukaryota,Dinophyta,43183874,207602,0.9251,28,15,Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Alexandrium;Alexandrium minutum,_GAP_||PF00244,_GAP_||14-3-3 protein,,,,,NA,0
contig_1150780_1_377_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.014517707,0,0,0,0,0,377,377,,,,,,,,,,,,,,CAMPEP_0199502766-CAMNT_0045332317,54,,,"Ceratium fusus, Strain PA161109",2916,Eukaryota,Dinophyta,43183874,207602,0.9251,25,12,"Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Durinskia;Durinskia baltica, Strain CSIRO CS-38",,,,,,,NA,0
contig_1151432_174_548_+,0,0,8.087188321,10.31309916,9.542916363,0,9.014317853,3.229599954,2.674734435,8.359252087,0,0,0,0,0,0,0,0,6.33019412,4.586015853,4.171420074,0,5.750100124,2.945822019,0,0,0,3.838540189,3.948857807,1.502318613,6.810336903,3.494101626,1.614619268,0,3.059785405,0,2.130382416,1.946660696,0,0,548,375,,,,,,,,,,,,,,CAMPEP_0200695326-CAMNT_0046822921,85,,,"Alexandrium monilatum, Strain CCMP3105",311494,Eukaryota,Dinophyta,43183874,207602,0.924,49,22,Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Scrippsiella;Scrippsiella hangoei SHTV5,,,,,,,NA,0
contig_1152868_1_662_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.543599913,1.118445376,0,0,0,0,0,0,0,0,0,0,0,662,662,lbz:LbrM20_V2.3260, vacuolar ATP synthase catalytic subunit A (EC:3.6.3.14); K02145 V-type H+-transporting ATPase subunit A [EC:3.6.3.14],lbz01100||lbz04145||lbz00190,K02145,V-type H+-transporting ATPase subunit A [EC:3.6.3.14],Oxidative phosphorylation || Phagosome || Synaptic vesicle cycle || Collecting duct acid secretion || Vibrio cholerae infection || Epithelial cell signaling in Helicobacter pylori infection || Rheumatoid arthritis,3.6.3.14,5524,A4HB86,KOG1352,"Vacuolar H+-ATPase V1 sector, subunit A",Energy production and conversion ,METABOLISM,CAMPEP_0117486318-CAMNT_0005280923,87,"TIGR01042: V-ATPase_V1_A: V-type ATPase, A subunit PF00006.20:  ATP synthase alpha/beta family, nucleotide-binding domain PF00306.22:  ATP synthase alpha/beta chain, C terminal domain",,Gymnodinium catenatum,39447,Eukaryota,Dinophyta,43183874,207602,0.92,20,11,Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Gymnodinium;Gymnodinium catenatum,_GAP_||PF00006,"_GAP_||ATP synthase alpha/beta family, nucleotide-binding domain",,,F-ATPase,,2,0
contig_1153120_1_771_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.461399429,0.662484135,0,0,0,0,0,0,0,0,0,771,771,,,,,,,,,,,,,,CAMPEP_0190383554-CAMNT_0034135041,34,,,Oxyrrhis marina,2969,Eukaryota,Dinophyta,43183874,207602,0.9734,6,2,Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Oxyrrhinaceae;Oxyrrhis;Oxyrrhis marina,,,,,,,NA,0
contig_115534_30_648_+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.705594028,0.978161915,0,0,0,0,0,0,0,648,619,,,,,,,,,,,,,,CAMPEP_0190447636-CAMNT_0034206283,40,,,Oxyrrhis marina LB1974,-311155,Eukaryota,Dinophyta,43183874,207602,0.9086,4,4,Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Oxyrrhinaceae;Oxyrrhis;Oxyrrhis marina,,,,,,,NA,0
contig_1163896_131_523_-,0,0,0,0,0,0,0,0,2.552227514,0,0,0,0,0,0,0,0,0,7.550326956,2.917312884,1.990181333,0,3.657824506,0,0,0,0,4.578411485,2.825995568,0,3.899047845,2.222710958,0,0,2.919642562,0,0,0,0,0,948,393,,,,,,,,,,,,,,CAMPEP_0190318454-CAMNT_0034054285,47,,,Oxyrrhis marina,2969,Eukaryota,Dinophyta,43183874,207602,0.9201,2,2,"Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Karlodinium;Karlodinium micrum, Strain CCMP2283",,,,,,,NA,0
contig_1165061_1_606_-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.375334275,0,0,0,0,0,0,0,0,0,0,0,0,774,606,,,,,,,,16020,,,,,,CAMPEP_0179271866-CAMNT_0020980241,73,PF01036.13: Bacteriorhodopsin-like protein,,Dinophysis acuminata,47934,Eukaryota,Dinophyta,43183874,207602,1,2,1,Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophysiales;Dinophysis;Dinophysis acuminata,PF01036,Bacteriorhodopsin-like protein,,,,,NA,6
contig_1165214_59_749_-,0,0,1.462950131,1.39920846,1.726287331,0,0,1.752677255,0,2.268248577,0,3.178603431,3.689377217,0,0,7.173620842,6.004223155,7.783453949,1.717672066,1.659195316,1.131897632,0,1.040177302,0,4.136270358,2.995184518,3.459359716,0.520786024,2.143012558,2.445887757,2.217548196,1.264146754,1.752481116,0,1.107013533,5.388625429,1.156140964,2.112873404,2.719050354,0,749,691,,,,,,,,,,,,,,CAMPEP_0200827266-CAMNT_0046994091,74,,,"Karlodinium micrum, Strain CCMP2283",342587,Eukaryota,Dinophyta,43183874,207602,0.9671,9,4,"Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Karlodinium;Karlodinium micrum, Strain CCMP2283",,,,,,,NA,0
contig_1166183_1_729_-,0,0,4.160076297,5.305092158,6.545210126,0,4.63699478,3.322633698,2.751784398,4.300026794,5.190399432,6.025829823,3.497064001,11.64089649,0,20.39906173,17.07373745,22.13319621,2.442204521,1.572707769,3.218688329,2.805734472,3.943827246,6.061362179,3.9206623,5.678113858,3.279036438,0.493639428,1.015652728,0.77279764,1.40130389,1.198251587,1.661130934,0,0.524654562,5.10773686,3.287627186,2.002737341,2.577316591,8.376689648,1061,729,,,,,,,,0005524||0006457||0006950||0051082,,KOG0020,"Endoplasmic reticulum glucose-regulated protein (GRP94/endoplasmin), HSP90 family","Posttranslational modification, protein turnover, chaperones ",CELLULAR PROCESSES AND SIGNALING,CAMPEP_0200813678-CAMNT_0046975335,75,"PF00183.13: Hsp90 protein PF13589.1:  Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase",,"Karlodinium micrum, Strain CCMP2283",342587,Eukaryota,Dinophyta,43183874,207602,0.8491,49,30,Eukaryota;Alveolata;Dinophyta;Dinophyceae;Dinophyceae_X;Dinophyceae_XX;Karenia;Karenia brevis CCMP2229,_GAP_||PF00183,_GAP_||Hsp90 protein,,,,,NA,0
